Game Number,Number of Moves,Total Time,Predicted Heuristic,Current Heuristic,Maximum Tile,Average Lookahead
1,1886,405.7618832588196,15226211949,15226211693,11,4.16118769883351
2,427,158.78744292259216,10182602910,10116537582,8,4.9110070257611245
3,1817,453.18984174728394,15251436806,15251359349,11,4.367088607594937
4,2988,986.6925354003906,16347521901,16347521819,12,4.904953145917001
5,1970,459.8834218978882,15269435805,15269419422,11,4.30253807106599
6,851,127.544606924057,13771861281,13721525577,10,3.7661574618096356
7,487,54.85865807533264,12330834361,12410526137,9,3.459958932238193
8,1035,222.34566855430603,13842144877,13842144795,10,4.107246376811594
9,1001,175.63134384155273,13837864596,13837781325,10,3.9330669330669332
10,934,204.3417820930481,11880935014,11880934758,10,4.0235546038543895
11,1430,341.60508704185486,14569522121,14569522117,11,4.28951048951049
12,1701,555.5724248886108,13299587229,13299587111,11,4.623750734861846
13,1301,400.93154406547546,13122017209,13122017118,10,4.76325903151422
14,1383,262.3310241699219,14893524225,14893409865,11,4.028199566160521
15,3226,983.0986361503601,16552664685,16552664429,12,4.516429014259145
16,2638,786.1457185745239,16258010628,16257960292,12,4.572403335860501
17,1332,399.9640712738037,14854610272,14850160941,11,4.345345345345345
18,927,206.46203637123108,11876658790,11876658534,10,4.281553398058253
19,1887,389.2314352989197,15271541312,15270949277,11,4.1860095389507155
20,1620,348.7890031337738,14832531337,14832531145,11,4.254320987654321
